Run Title,Alternative,NPV,IRR
T2Run172 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run173 Project Analysis,Upgrade,22282966.0,63.900001525878906
T2Run173 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run174 Project Analysis,Upgrade,24843812.0,69.01000213623047
T2Run174 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run175 Project Analysis,Upgrade,27919102.0,76.62000274658203
T2Run175 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run176 Project Analysis,Upgrade,61439848.0,154.4499969482422
T2Run176 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run177 Project Analysis,Upgrade,59513300.0,150.3699951171875
T2Run177 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run178 Project Analysis,Upgrade,62655624.0,157.05999755859375
T2Run178 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run179 Project Analysis,Upgrade,60695428.0,152.99000549316406
T2Run179 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run180 Project Analysis,Upgrade,61818580.0,155.6699981689453
T2Run180 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run181 Project Analysis,Upgrade,68380616.0,169.6199951171875
T2Run181 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run182 Project Analysis,Upgrade,75185056.0,186.4499969482422
T2Run182 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run183 Project Analysis,Upgrade,307118048.0,745.8200073242188
T2Run183 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run184 Project Analysis,Upgrade,297892544.0,724.0499877929688
T2Run184 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run185 Project Analysis,Upgrade,312901504.0,759.47998046875
T2Run185 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run186 Project Analysis,Upgrade,303452864.0,737.25
T2Run186 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run187 Project Analysis,Upgrade,308576160.0,749.4500122070312
T2Run187 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run188 Project Analysis,Upgrade,339934656.0,823.4500122070312
T2Run188 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run189 Project Analysis,Upgrade,370398848.0,896.1400146484375
T2Run189 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run190 Project Analysis,Upgrade,20840650.0,61.369998931884766
T2Run190 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run191 Project Analysis,Upgrade,20208624.0,60.08000183105469
T2Run191 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run192 Project Analysis,Upgrade,21256284.0,62.22999954223633
T2Run192 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run193 Project Analysis,Upgrade,20648776.0,61.040000915527344
T2Run193 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run194 Project Analysis,Upgrade,21144702.0,62.22999954223633
T2Run194 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run195 Project Analysis,Upgrade,23308522.0,66.55000305175781
T2Run195 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run196 Project Analysis,Upgrade,26764632.0,74.93000030517578
T2Run196 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run197 Project Analysis,Upgrade,57836432.0,147.6300048828125
T2Run197 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run198 Project Analysis,Upgrade,56214872.0,144.17999267578125
T2Run198 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run199 Project Analysis,Upgrade,58888700.0,149.89999389648438
T2Run199 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run200 Project Analysis,Upgrade,57290076.0,146.58999633789062
T2Run200 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run201 Project Analysis,Upgrade,58432104.0,149.30999755859375
T2Run201 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run202 Project Analysis,Upgrade,63996996.0,161.17999267578125
T2Run202 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run203 Project Analysis,Upgrade,71854992.0,180.3000030517578
T2Run203 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
T2Run204 Project Analysis,Upgrade,289086016.0,703.489990234375
T2Run204 Project Analysis,Minimum Maintenance (U),0.0,-9999.990234375
